Device,36,40,44,48,52,56,60,64,100,104,108,112,116,120,124,128,132,136,140,144,149,153,157,161,165,SS,.11,MU-MIMO,.11v,Link,Region,Version,Max Tx,OWE,SAE,.11w,Cap. Chan.,Notes
Nokia Lumia 735,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,n,,,PCAP,EU,,,,,,1,2.4GHz Only
Nokia 6.1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1,n,,N,PCAP,US,"TA-1045, Android 8.1",,,,,,
Nokia 8 TA-1004,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,22,,,,36,
Nvidia Shield Tablet,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,2,n,,,PCAP,US,,,,,,36,"Driver: LRX21M.28311_475.5300 IE ""Supported Channels"" not present"
One Plus One,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,ac,,Y,PCAP,US,,30,,,,149,Supports .11k
One Plus One,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,ac,N,Y,PCAP,EU,,17,,,,36,
One Plus Two,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,/,/,/,/,/,/,1,ac,Y,Y,PCAP,EU,,27,,,,100,
One Plus Two,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1,ac,Y,Y,PCAP,US,,24,,,,40,
One Plus Three,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,/,/,/,/,/,1,ac,Y,N,PCAP,EU,,23,,,,36,
One Plus Five,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,Y,Y,PCAP,US,,22,,,Y,48,
One Plus 5T,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,APAC,8.1,,,,,,
One Plus Six,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,?,N,PCAP,US,,17,,,,64,Captured on .11n so can't tell MUMIMO capability
One Plus Six T,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,22,,,,36,
One Plus 7,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,30,,,Y,100,
One Plus 7T,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,24,`,,,36,
One Plus 8,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,EU,,30,,,,36,
OnePlus 8 Pro,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ax,Y,Y,PCAP,US,,17,,,,,
Oukitel K10000 Pro,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,1,n,,N,PCAP,EU,,20,,,Y,36,
Proxim WD8494,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,n,,N,PCAP,EU,Proxim Wireless 8494 802.11a/b/g/n USB Adapter,17,,,,36,
Point Mobile PM45,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,ac,Y,Y,PCAP,US,,20,,,Y,36,
Raspberry Pi3,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1,ac,N,N,PCAP,US,3B+,,,,,149,
Roku3,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,2,n,,,PCAP,US,,16,,,,157,
Roku4,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,2,ac,N,N,PCAP,US,440x,17,,,,,
Roku 4660x,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,2,ac,N,N,,US,4660x,21,,,,,
Samsung Galaxy A5,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,n,,Y,PCAP,EU,,20,,,Y,44,
Samsung Galaxy A6,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,n,N,N,PCAP,US,,,,,,36,The A6+ should resemble this.
Samsung Galaxy Avant,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,n,,,PCAP,US,,17,,,,36,Does not advertise RSN capabilities
Samsung Galaxy Tab A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,n,N,Y,,US,7.1.1,23,,,,149,
Samsung GalaxyTab S,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,2,n,,Y,PCAP,US,4.4.2,,,,,36,SM T700
Samsung Tab4-SM-T230NU,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,n,,Y,,US,,19,,,,149,
Samsung Galaxy Tab S2,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,/,/,/,/,/,/,2,ac,N,Y,,EU,7,,,,Y,112,
Samsung Galaxy Ace 3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,n,,,PCAP,EU,4.2.2,,,,,1,2.4GHz Only
Samsyng Galaxy S2,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,n,,,PCAP,US,,14,,,,149,
Samsung Galaxy S4,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,n,,,PCAP,CA,,,,,,36,
Samsung Galaxy S4,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,?,1,n,,,PCAP,US,,,,,,48,
Samsung S5 Active,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,2,ac,,Y,PCAP,US,,,,,,149,Advertises max Tx of 224 dBm
Samsung Galaxy S5 Mini,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,/,/,/,/,/,/,1,n,,,PCAP,EU,4.4.2,15,,,,104,Lack of channel support due to ETSI regulatory-domain
Samsung Galaxy S6 Edge,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y*,Y*,Y*,Y,Y,Y,Y,Y,2,ac,,,PCAP,US,5.0.2,19,,,Y,48,"Advertised 136-144 as not supported, though captures from @timcapalli do show supported. "
Samsung Galaxy S6,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,/,/,/,/,/,/,2,ac,,Y,PCAP,EU,Non Edge,,,,Y,,Associated to Non VHT AP
Samsung Galaxy S7 Edge,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,Y,Y,PCAP,US,,18,,,Y,149,
Samsung Galaxy S7(Non Edge),Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,Y,Y,PCAP,US,,18,,,Y,,
Samsung Galaxy Note 1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,n,,,PCAP,US,,16,,,,149,Custom Rom. Not sure if default OS has same values
Samsung Galaxy Note 4,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,?,,,,,PCAP,US,,,,,,,Need a pcap for this device
Samsung Galaxy Note 3,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,1,ac,,,PCAP,US,,,,,,149,Advertises max Tx of 224 dBm
Samsung Galaxy Note 3,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1,ac,N,Y,PCAP,US,Android 5,17,,,,36,
Samsung Galaxy Note 7,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,ac,Y,,PCAP,US,,17,,,Y,36,
Samsung Galaxy Note 8,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,ac,Y,N,,EU,,19,,,Y,112,
Samsung Galaxy Note 9,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,Y,Y,PCAP,US,,19,,,Y,165,
Samsung Galaxy Note 10,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,ax,Y,N,PCAP,US,SM-N975F,18,,,Y,124,
Samsung Galaxy Note 10+,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,ax,Y,Y,PCAP,US,,18,,,Y,36,
Samsung Galaxy S8,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,Y,Y,,US,,19,,,Y,100,
Samsung Galaxy S8 Plus,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,2,ac,Y,Y,PCAP,US,,17,,,Y,60,
Samsung Galaxy S9,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,Y,N,,US,,17,,,Y,,
Samsung Galaxy S9 Plus,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,ac,Y,Y,PCAP,EU,,17,,,Y,44,
Samsung Galaxy S10,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ax,Y,Y,PCAP,US,,19,,,Y,,
Samsung Galaxy S10e,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,2,ax,Y,Y,PCAP,US,,19,,,Y,36,
Samsung Galaxy S10+,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,ax,Y,Y,PCAP,EU,,18,,,Y,36,
Samsung Galaxy A3 2017,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1,ac,Y,Y,PCAP,EU,Android 8.0.0,27,,,,140,
Samsung Galaxy A50,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1,ac,N,Y,PCAP,EU,"Model# SM-A505FN Android 10, Kernel 4.14.62, security patch 1st Aug 2020",17,,,Y,36,
Samsung J5,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,n,,Y,PCAP,EU,2017,,,,,,
Samsung J7 Sky Pro,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,ac,Y,Y,PCAP,US,,23,,,Y,100,
Smixin Compact soap,,,,,,,,,,,,,,,,,,,,,,,,,,1,n,,,PCAP,EU,Soap Dispenser,,,,,11,2.4GHz Only
Sony z4,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,n,,Y,PCAP,EU,4.2.2,15,,,,108,
Sony Bravia KDL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,n,,,PCAP,US,48w600b,5,,,,153,
Sony Playstation 5,,,,,,,,,,,,,,,,,,,,,,,,,,2,ax,Y,N,PCAP,CA,,20,,,,140,
Sony Xperia Z1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,n,N,Y,PCAP,US,,30,,,,36,Supposedly .11ac but not VHT IE
Sony Xperia Z2,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,ac,N,Y,PCAP,EU,,18,,,Y,36,
Sony Xperia X Compact,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,ac,N,Y,PCAP,EU,,18,,,,36,
Tesla Model 3,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,EU,,16,,,,36,
Tesla Model S,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,16,,,,36,
Toshiba Chromebook CB30-B-104,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,EU,ChromeOS 75.0.3770.129,22,,,,112,
TotalTrax EquipManager EM1302,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,,,,,PCAP,,,10,,,,161,totaltraxinc.com
TP-Link USB T9UH,,,,,,,,,,,,,,,,,,,,,,,,,,3,ac,N,Y,PCAP,US,,,,,,100,Does not report Supported Channels
Ubiquiti Cam UVC G3 Micro,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1,n,,,PCAP,US,,14,,,,161,
Vizio Smartcast M Series,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,N,PCAP,US,2016:M60-D1,,,,,36,.11v was enabled on BSS
Vizio Android Remote,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,n,,N,PCAP,US,XR6M10,17,,,Y,36,.11v was enabled on BSS
XBOX One,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,n,,,PCAP,US,,18,,,,36,
Xbox One S,,,,,,,,,,,,,,,,,,,,,,,,,,2,ac,N,N,PCAP,EU,,,,,,36,
Xiaomi MI 8 Pro,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,ac,Y,Y,PCAP,US,,22,,,,36,
Xiaomi - RedmiNote4,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1,n,,Y,,APAC,,30,,,Y,149,
Xiaomi Mi A1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1,ac,Y,N,PCAP,EU,,20,,,,,
Xiaomi Mia2 Lite,,,,,,,,,,,,,,,,,,,,,,,,,,1,n,,,PCAP,,,,,,,149,Does not report much in Assoc req.
Xiaomi Mi4,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,ac,Y,Y,,APAC,,30,,,Y,149,
Xiaomi Pocophone F1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,14,,,,149,
Xiaomi RedmiNote5,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,/,/,/,/,/,1,ac,N,Y,PCAP,EU,Android 8.1.0,22,,,,140,
Xiaomi Redmi 6A Global,,,,,,,,,,,,,,,,,,,,,,,,,,1,n,,Y,PCAP,EU,,20,,,Y,,
Zebra MC40,Y,Y,Y,Y,Y,Y,Y,Y,Y*,Y,Y,Y,Y,N,N,N,N,Y*,Y,N,Y*,Y,Y,Y,Y,1,n,,,PCAP,US,RevB & RevB+,19,,,,40,*Advertises less support than it actually has. See the PCAPs for proof.
Zebra TC70x,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,n,,N,,US,,17,,,,,
Zebra TC8000,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,n,,Y,PCAP,US,,17,,,,36,
Zebra QLn420,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,1,n,,N,PCAP,US,,20,,,,157,
Zebra Motorola MC32N0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,n,,,PCAP,EU,,25,,,,44,Tx powers seem reversed. Doesnt report channel support.
Zebra Motorola VH10 ,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,n,,,PCAP,EU,,,,,,,Tx powers seem reversed. Doesnt report channel support.
Zebra MC930P,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,2,ac,N,N,PCAP,EU,Android 8.1,22,,,,36,
Zebra MC3300K,Y,Y,Y,Y,Y,Y,Y,Y,/,/,/,/,/,/,/,/,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,N,PCAP,RU,,17,,,,36,
Zebra WT6000,Y,Y,Y,Y,Y,Y,Y,Y,/,/,/,/,/,/,/,/,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,RU,,17,,,,36,
ZTE Axon 7,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,2,ac,Y,Y,PCAP,EU,,23,,,,64,
ZTE Axon Pro,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1,ac,Y,N,PCAP,US,,24,,,,36,